handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
cf_monterey,Product,Monterey Futon Frame,"The Monterey features mission-style arms, evoking a clean and contemporary look. Available in two fnishes: Cherry and Dark Chocolate.Available in Full and Queen.","https://static.wixstatic.com/media/e04e89_cf15142c61714ecfad7852522e0a98e4~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_d88fa0b2e50b4bbc80a9cbc9b9c09a69~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg",Futon Frames,CF-FRAME-MONTEREY,,549,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,Manufacturer,Night & Day Furniture,,,,,,,,,,,,,,,,,Carolina Futons
cf_sunrise,Product,Sunrise Futon Frame,"The Sunrise has two handsome tray arms that can be folded up or down as needed. Useful and attractive for serving drinks to guests or enjoying a snack on your own. Available in four finishes: Cherry, Black Walnut, Dark Chocolate, and Natural.Available in Full and Queen.","https://static.wixstatic.com/media/e04e89_bd61c37885e04934b0d219eb23c5d36f~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_9234577e395e4eb180cb2c9bc936d65f~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_677c5e7ae28c42f79c25fd5182191e21~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_9d703e0c25444946ab49296181d9ca2c~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg",Futon Frames,CF-FRAME-SUNRISE,,779,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,Manufacturer,Night & Day Furniture,,,,,,,,,,,,,,,,,Carolina Futons
cf_dillon,Product,Dillon Futon Frame,"Designed to optimize space even further, the Dillon's armless style allows for the cushion to be the statement piece. Available in Warm Cherry, Dark Cherry, Black Walnut, Natural. and Gray. Available in Painted Black and Natural in Full and Queen Size only. Available in Full, Queen, Full Loveseat w/Ottoman, and Queen Loveseat w/Ottoman.","https://static.wixstatic.com/media/e04e89_241b8a589d964e41a3094fbcd1597728~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_a1f34879775849259ca38821606c1733~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_9368fd12e5be4002852bc42c6f81cda5~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_b9f7b2d45dac4fb7bc05533c0c3e6a6e~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_0173589367484331895751b6f944f811~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_254ccca78a72413a8cd4e85d65d4d20e~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_b3f3a0459c53478198d75cc0d92c303d~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg",Wall Hugger Frames,CF-FRAME-DILLON,,642,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,Manufacturer,Night & Day Furniture,,,,,,,,,,,,,,,,,Carolina Futons
cf_lambton,Product,Lambton Futon Frame,"From the slightly curved slats to the grooves in the arm, the fine details of the Lambton make this arm simply stunning. The Lambton is available in two finishes: Warm Cherry and Dark Cherry.Available in Full, Queen, Full Loveseat w/Ottoman, and Queen Loveseat w/Ottoman.","https://static.wixstatic.com/media/e04e89_a2b5cd4926dd4d72ba6b528df8ea56c4~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_672ba8e076754caba86be72e576c7133~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_8413d0561c364d52898a16604a3228e8~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg",Wall Hugger Frames,CF-FRAME-LAMBTON,,778,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,Manufacturer,Night & Day Furniture,,,,,,,,,,,,,,,,,Carolina Futons
cf_autumn,Product,Autumn Futon Frame,"The Autumn frame has handsome wide arms with an attractive lattice set, making a bold statement in any room. Available in four finishes: Black Walnut, Cherry, Dark Chocolate, and Natural.Available in Full and Queen.","https://static.wixstatic.com/media/e04e89_8d3bd05dd2a94ac698cc7d301fb6b4b0~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_db236e3df36f405d9e1a3f7cd8423f2f~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_21a82faa05ba4c0c96b1b0ac78f216a7~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_242150f7417040e7aa77f0e111a6a280~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg",Futon Frames,CF-FRAME-AUTUMN,,739,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,Manufacturer,Night & Day Furniture,,,,,,,,,,,,,,,,,Carolina Futons
cf_black_pepper,Product,Black Pepper Futon Frame,"The Black Pepper Platform Bed is a dream bed built for style. Minimalist and gorgeous, its Art Deco simplicity will delight the eye and quiet the mind. Bed rails can be set up in two heights of 13.5"" or 16.3"" Available in Twin, Full, Queen, and King sizes Available in Cherry, Chocolate, and Stonewash Gray finishes","https://static.wixstatic.com/media/e04e89_20b37a9a069646b197fcbb4eccdd576d~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_3821075ba92c45889f0e7e785128536c~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_9ef03cfcbaf84063beedf3745295c6d6~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_6e69ecc5f60140a5b508f829d14f628c~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_edb69e0faf2e4a8aa817170032768c5a~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_fc6ccd5a0a784d1da043bb930c61743f~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg",Platform Beds,CF-FRAME-BLACKPEPPER,,349,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,Manufacturer,Night & Day Furniture,,,,,,,,,,,,,,,,,Carolina Futons
cf_galena,Product,Galena Futon Frame,"Galena is a new design, featuring subtle curves and thicker slats. Available in Black Walnut and Dark Cherry. Available in four sizes: Full, Queen, Full Loveseat w/Ottoman, and Queen Loveseat w/Ottoman.","https://static.wixstatic.com/media/e04e89_86caccf98ec24689b92e0d7b9088e847~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_f9cbbd16e58044eeaac99aed06fd96e8~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg",Wall Hugger Frames,CF-FRAME-GALENA,,722,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,Manufacturer,Night & Day Furniture,,,,,,,,,,,,,,,,,Carolina Futons
cf_trinity,Product,Trinity Futon Frame,"The Trinity reflects the classic futon frame with its straightforward design, well-suited for most home styles and offering exceptional value. Available in four finishes: Cherry, Black Walnut, Dark Chocolate, and Natural.Available in Full and Queen.","https://static.wixstatic.com/media/e04e89_d39f32f6ca484d1b91e62e9c56514f4e~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_24155fd4f2694120ac36b52d9689cb1a~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_0a2f0905eb5745cc87b964b46689064d~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_03d795f5452b409aa6d0b3626518c2f5~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg",Futon Frames,CF-FRAME-TRINITY,,549,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,Manufacturer,Night & Day Furniture,,,,,,,,,,,,,,,,,Carolina Futons
cf_winchester,Product,Winchester Futon Frame,"The Winchester futon frame has a very appealing traditional mission-style design with solid steam-bent arms. Available in four finishes: Cherry, Black Walnut, Dark Chocolate, and Natural.Available in Full and Queen.","https://static.wixstatic.com/media/e04e89_bd162d22c93c4421a35c88967ded6d05~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_ef5c8fce372b4839840d6bbce851260c~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_40f3097cb89f4d648546b7d59d117216~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_6977a39f65074ceea4717dd7ae3e3bd2~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg",Casegoods & Accessories,CF-FRAME-WINCHESTER,,689,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,Manufacturer,Night & Day Furniture,,,,,,,,,,,,,,,,,Carolina Futons
cf_rosemary,Product,Rosemary Futon Frame,"Just like rosemary, this bed adds great taste to whatever it’s combined with - that's one attractive and versatile ingredient in a bedroom collection. Bed rails can be set up in two heights of 13.5"" or 16.3"" Available in Twin, Full, Queen, and King sizes Available in Cherry, Chocolate, White, Natural, and Stonewash Gray finishes Product Dimensions","https://static.wixstatic.com/media/e04e89_efd37face9b4468e9f9b339fb2de7c99~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_a6abb5cf26f5476195c177a7a6cfa597~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_9a63b94b19a24c618b9937d3d2aa9b71~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_0de14ceb72c44ca583ca8660ff91b807~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_fe22ad0c21fa44c3bddaede720eb7511~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_76cd5d92774546eda7a02c81fb2d00c5~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg;https://static.wixstatic.com/media/e04e89_3c04de468c524d7c84e7a27bacf41a1b~mv2.jpg/v1/fit/w_2000,h_2000,q_90/file.jpg",Platform Beds,CF-FRAME-ROSEMARY,,251,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,Manufacturer,Night & Day Furniture,,,,,,,,,,,,,,,,,Carolina Futons
